job_name,job_salary,job_area,com_name,com_type,com_size,education,work_year,job_benefits,category_path,crawl_time,salary_min_k,salary_max_k,salary_avg_k,salary_months,annual_salary_avg_k,salary_type,city,district,business_area,company_type_clean,company_size_clean,industry,category,subcategory,position
AI产品经理,2.8-5.5万,上海·徐汇·虹梅路,上海统才企业管理咨询服务有限公司,民营,1000-9999人,学历不限,1-3年,人工智能产品经理,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,28.0,55.0,41.5,12.0,498.0,monthly,上海,徐汇,虹梅路,民营,1000-9999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理(金融科技),3-4万·13薪,上海·浦东·唐镇,北京谆航科技有限公司,民营,100-299人,本科,5-10年,"智能机器人, AI产品",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:49,30.0,40.0,35.0,13.0,455.0,monthly,上海,浦东,唐镇,民营,100-299人,未知,产品,互联网产品经理,AI产品经理
AI产品经理,2-4万,上海·黄浦·淮海中路,上海畅商亨霖信息技术有限公司,20-99人,软件/IT服务,本科,3-5年,"搜索, 推荐, NLP, 大模型, AIGC",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:51,20.0,40.0,30.0,12.0,360.0,monthly,上海,黄浦,淮海中路,软件/IT服务,20-99人,未知,产品,互联网产品经理,AI产品经理
AI产品经理-效率方向 (MJ003663),2-3.5万·13薪,上海·青浦·重固,申通快递,上市公司,10000人以上,本科,3-5年,AI方向,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,20.0,35.0,27.5,13.0,357.5,monthly,上海,青浦,重固,上市公司,10000人以上,未知,产品,互联网产品经理,AI产品经理
AI产品经理-质量方向 (MJ003664),2-3.5万·13薪,上海·青浦·重固,申通快递,上市公司,10000人以上,本科,5-10年,"B端产品, AI",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:51,20.0,35.0,27.5,13.0,357.5,monthly,上海,青浦,重固,上市公司,10000人以上,未知,产品,互联网产品经理,AI产品经理
AI产品经理,2-2.5万,上海·闵行·新虹,上海熙软科技有限公司,民营,500-999人,本科,5-10年,"NLP, 大模型, 智能问答",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,20.0,25.0,22.5,12.0,270.0,monthly,上海,闵行,新虹,民营,500-999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理（财务系统方向）-税务部-上海,1.5-2.9万,上海·黄浦·外滩,德勤企业咨询(上海)有限公司,外商独资,10000人以上,本科,3-5年,,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,15.0,29.0,22.0,12.0,264.0,monthly,上海,黄浦,外滩,外商独资,10000人以上,未知,产品,互联网产品经理,AI产品经理
AI产品经理（上海、嘉兴）,1.8-2.5万·13薪,上海·静安·大宁路,浙江和达科技股份有限公司,上市公司,500-999人,本科,3-5年,AI,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:49,18.0,25.0,21.5,13.0,279.5,monthly,上海,静安,大宁路,上市公司,500-999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理(J10377),1.5-2.5万·13薪,上海·闵行·浦江,上海欧易生物医学科技有限公司,民营,500-999人,本科,3-5年,"大模型, AIGC",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:49,15.0,25.0,20.0,13.0,260.0,monthly,上海,闵行,浦江,民营,500-999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理,1.6-2万,上海·徐汇·虹梅路,金桥信息,上市公司,500-999人,本科,3-5年,,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,16.0,20.0,18.0,12.0,216.0,monthly,上海,徐汇,虹梅路,上市公司,500-999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理（石油石化领域）,1.5-2万·13薪,上海·浦东·金桥,上海艾策通讯科技股份有限公司,股份制企业,20-99人,本科,3-5年,大模型,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,15.0,20.0,17.5,13.0,227.5,monthly,上海,浦东,金桥,股份制企业,20-99人,未知,产品,互联网产品经理,AI产品经理
AI产品经理（教育领域）,1.5-2万·13薪,上海·浦东·金桥,上海艾策通讯科技股份有限公司,股份制企业,20-99人,本科,3-5年,大模型,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,15.0,20.0,17.5,13.0,227.5,monthly,上海,浦东,金桥,股份制企业,20-99人,未知,产品,互联网产品经理,AI产品经理
AI产品经理（医疗领域）,1.5-2万·13薪,上海·浦东·金桥,上海艾策通讯科技股份有限公司,股份制企业,20-99人,本科,3-5年,大模型,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,15.0,20.0,17.5,13.0,227.5,monthly,上海,浦东,金桥,股份制企业,20-99人,未知,产品,互联网产品经理,AI产品经理
AI产品经理（上市企业）,1.2-1.5万,上海·徐汇·虹梅路,金桥信息,上市公司,500-999人,本科,3-5年,大模型,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:51,12.0,15.0,13.5,12.0,162.0,monthly,上海,徐汇,虹梅路,上市公司,500-999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理,1-1.5万,上海·静安·彭浦,慧研智投科技有限公司,民营,1000-9999人,本科,3-5年,大模型,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:49,10.0,15.0,12.5,12.0,150.0,monthly,上海,静安,彭浦,民营,1000-9999人,未知,产品,互联网产品经理,AI产品经理
ai产品经理,1-1.5万,上海·静安·彭浦,慧研智投科技有限公司,民营,1000-9999人,本科,3-5年,,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,10.0,15.0,12.5,12.0,150.0,monthly,上海,静安,彭浦,民营,1000-9999人,未知,产品,互联网产品经理,AI产品经理
ai产品经理,8000-12000元·13薪,上海·静安·天目西路,上海广拓信息技术有限公司,民营,100-299人,本科,1-3年,"NLP, 推荐, 智能客服, AI产品全生命周期管理, 跨团队协作推进",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,8.0,12.0,10.0,13.0,130.0,monthly,上海,静安,天目西路,民营,100-299人,未知,产品,互联网产品经理,AI产品经理
科技管培生（AI产品经理方向）,8000-12000元·20薪,上海·浦东·陆家嘴,平安国际融资租赁有限公司,民营,1000-9999人,本科,经验不限,产品经理,产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,8.0,12.0,10.0,20.0,200.0,monthly,上海,浦东,陆家嘴,民营,1000-9999人,未知,产品,互联网产品经理,AI产品经理
AI产品经理,5000-7000元,上海·浦东·张江,上海世纪云端人工智能科技有限公司,民营,20-99人,大专,经验不限,"大模型, 智能机器人, 智能问答",产品-互联网产品经理-AI产品经理,2026-05-20 18:44:50,5.0,7.0,6.0,12.0,72.0,monthly,上海,浦东,张江,民营,20-99人,未知,产品,互联网产品经理,AI产品经理
