job_name,job_salary,job_area,com_name,com_type,com_size,education,work_year,job_benefits,category_path,crawl_time
java开发工程师,8000-13000元,北京·丰台·看丹,北京神州九盛软件股份有限公司,20-99人,软件/IT服务,本科,1-3年,"Java, Mybatis, Vue, Oracle, PostgreSQL, Spring",技术-后端开发-Java,2026-05-20 16:59:48
java开发工程师中级,1.6-2万,北京·西城·金融街,达维信息技术(深圳)有限公司北京分公司,100-299人,产业互联网平台,本科,5-10年,"JavaScript, Spring, Oracle, MySQL",技术-后端开发-Java,2026-05-20 16:59:48
java开发工程师,1.5-2.2万·14薪,北京·朝阳·劲松,山东普罗世纪人力资源有限公司,民营,20-99人,大专,3-5年,"Spring, MySQL, NoSQL",技术-后端开发-Java,2026-05-20 16:59:48
java开发,8000-12000元,北京·丰台·六里桥,北京信利恒丰科技发展有限公司,民营,20-99人,本科,1-3年,JavaScript,技术-后端开发-Java,2026-05-20 16:59:48
java软件开发工程师,9000-18000元,北京·海淀·中关村,北京泛能电研科技有限公司,民营,20人以下,本科,3-5年,JavaScript,技术-后端开发-Java,2026-05-20 16:59:48
java开发软件工程师,1.6-2万,北京·西城·金融街,达维信息技术(深圳)有限公司北京分公司,100-299人,产业互联网平台,本科,5-10年,"JavaScript, Python, Spring, Hibernate",技术-后端开发-Java,2026-05-20 16:59:48
java后端开发（中高级工程师）,1.1-1.3万,北京·昌平,北京中软环球信息技术有限公司,股份制企业,100-299人,本科,5-10年,"Spring, MySQL, JAVA后端开发, 微服务架构设计",技术-后端开发-Java,2026-05-20 16:59:48
java后端工程师,8000-9000元,北京·朝阳·团结湖,北京云周信息科技有限公司,股份制企业,20人以下,本科,1-3年,"JavaScript, Java, WEB开发, HTML, MySQL",技术-后端开发-Java,2026-05-20 16:59:49
java软件开发工程师,8000-10000元,北京·海淀·中关村,北京泛能电研科技有限公司,民营,20人以下,本科,3-5年,JavaScript,技术-后端开发-Java,2026-05-20 16:59:49
java开发助理工程师,1-1.5万,北京·海淀,思特奇,上市公司,1000-9999人,硕士,经验不限,"JavaScript, Java",技术-后端开发-Java,2026-05-20 16:59:49
Java工程师,1-1.2万,北京·丰台·看丹,卓为科技,民营,100-299人,本科,3-5年,,技术-后端开发-Java,2026-05-20 16:59:49
java开发工程师,1-1.5万,北京·朝阳·望京,北京天富勤科技有限公司,民营,20-99人,本科,3-5年,"JavaScript, Spring, Mybatis, MySQL, SQLServer, Redis",技术-后端开发-Java,2026-05-20 16:59:49
JAVA工程师,1.2-2万,北京·通州·台湖,安诺优达基因科技(北京)股份有限公司,民营,500-999人,本科,3-5年,基因检测行业,技术-后端开发-Java,2026-05-20 16:59:49
高级Java开发(外派互联网大厂),1.6-2万,北京·昌平·回龙观,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,本科,3-5年,"Java, Spring, MySQL, MQ, RPC, 外卖",技术-后端开发-Java,2026-05-20 16:59:49
JAVA工程师,2-3万,北京·海淀·上地,北京密码云芯科技有限公司,民营,100-299人,本科,3-5年,,技术-后端开发-Java,2026-05-20 16:59:49
